city,station_name,supercarburant sans plomb,station_location
Casablanca,TACHAROUK 2,‎ 14.49 DH,"BV OQBA IBNO NAFIAA, TACHAROUK"
Casablanca,ATTACHAROUK,‎ 14.8 DH,ROUTE DE SBIT  SIDI MOUMEN
Casablanca,ISTIRAHA RAJIF,‎ 14.72 DH,ANGLE BD ABDELKADER SAHRAOUI ET OQBA IBNOU NAFII MY RACHID
Casablanca,TACHAROUK 1,‎ 14.29 DH,"""AVENUE OKBA IBNOU NAFIA ET ABDELKADER SAHRAOUI  CASABLANCA                              """
Casablanca,S/S IKHLASS,‎ 14.83 DH,"HAY MOULAY RACHID TRANCHE ""B"" BOULEVARD ABDELKADER SAHRAOUI"
Casablanca,M'DAKRA,‎ 14.57 DH,"KM 6,8  ROUTE DE BEN SLIMAN"
Casablanca,S/S OQBA,‎ 14.8 DH,ROUTE DE BENSLIMANE
Casablanca,PETROFAN S/S SIDI MOUMEN ,‎ 14.83 DH,KM 6.700 BOULEVARD OQBA BEN NAFIA- SIDI MOUMEN
Casablanca,BOURNAZEL,‎ 14.83 DH,ANGLE ROUTE CHABBOU ET BV HOUCINE ESSOUSI SIDI MOUMEN ARRONDISSEMENT SIDI BERNOUSSI 
Casablanca,VILLE NOUVELLE ,‎ 14.8 DH,"AVENUE C HAY MY RACHID-, CASABLANCA"
Casablanca,S/S AL WIFAK,‎ 14.9 DH,"CITÉ NOUVELLE DE SIDI OTHMANE, TRANCHE D., MOULAY RACHID,"
Casablanca,PETROFAN S/S ATTACHAROUK,‎ 14.83 DH,"SALAMA III, BEN MSIK SIDI OHTMANE"
Casablanca,AIN SEBAA 2,‎ 14.29 DH,LOTISSEMENT LAHBAYB N° 1 COMMUNE AIN SEBAÂ
Casablanca,GRANDE CEINTURE,‎ 14.98 DH,"ANGLE BOULEBARD DE LA GRANDE CEINTURE, AIN SEBAA"
Casablanca,GRANDE CEINTURE I,‎ 14.29 DH,BOULEVARD GRANDE CEINTURE
Casablanca,PETROM ATTACHAROUK,‎ 16.83 DH,BD OQBA BNOU NAFII CASABLANCA
Casablanca,GRANDE CEINTURE II,‎ 14.29 DH,"120, BOULEVARD DE LA GRANDE CEINTURE AIN SBAA"
Casablanca,M DAKRA,‎ 14.8 DH,"RUE OKBA BEN NAFI, CASABLANCA 05"
Casablanca,AIN SEBAA 1,‎ 14.24 DH,COMMUNE AIN SEBAÂ CASABLANCA
Casablanca,ISTIRAHA EL AMANE,‎ 14.72 DH,BD OKBA BNOU NAFIR HAY ADIL CASABLANCA
Casablanca,MARCHE DE GROS,‎ 14.39 DH,ANGLE 10 MARS ET ABDELKADER ESSAHRAOUI
Casablanca,WINXO ROUTE DE BENSLIMANE,‎ 14.78 DH,"ROUTE BENSLIMANE ,ANGLE BD LA GRANDE CEINTURE & BD OKBA IBNO NAFIA"
Casablanca,DAR CHEMS,‎ 14.93 DH,BOULEVARD GRANDE CEINTURE
Casablanca,LIBERTE,‎ 14.8 DH,ANGLE BOULEVARDS GRANDE CEINTURE ET OKBA BNOU NAFII
Casablanca,SIDI MOUMEN,‎ 14.8 DH,"KM 10 RTE RABAT AIN SEBAA-, CASABLANCA"
Casablanca,S/S SORAA,‎ 14.83 DH,BOULEVARD GRAND CENTURE -AIN SEBAA 
Casablanca,2000 SIDI OTHMANE SS,‎ 14.73 DH,BOULEVARD DRISS EL HARTI
Casablanca,ZOO,‎ 14.8 DH,"KM 9 ROUTE DE RABAT, CASABLANCA"
Casablanca,ZOO SS,‎ 14.57 DH,"ROUTE DE CASA, SIDI BERNOUSSI"
Casablanca,TARIK ESSALAMA,‎ 14.8 DH,"KM 7 ROUTE DE RABAT AIN SEB—A -, CASABLANCA"
Casablanca,GRANDE ROUTE (AL AMAL),‎ 14.8 DH,"ROUTE DE RABAT AIN SBAA PRES DE ONTS, CASABLANCA"
Casablanca,ANASSI,‎ 14.29 DH,QUARTIER ANASSI SIDI BERNOUSSI
Casablanca,KODIATE,‎ 14.8 DH,"BLOC KODIAT IM. B HAY MOHAMMEDI, CASABLANCA"
Casablanca,WINXO AIN SEBAA,‎ 14.8 DH,ROUTE DE RABAT - PK 7 - AIN SEBAA
Casablanca,ROUTE DE RABAT,‎ 14.8 DH,ROUTE DE RABAT - BOULEVARD MOULAY ISMAIL - AIN SEBAA
Casablanca,ETTAJ,‎ 14.8 DH,RUE MARINIE
Casablanca,S/S CHABAB,‎ 14.83 DH,BD BOUMAAMRANI HAY ACHABAB -AIN SEBAA
Casablanca,STATION SIDI OTHMANE,‎ 14.8 DH,ANGLE AVENUE REDA GUEDIRA SIDI OTHMANE
Casablanca,JONQUILLE,‎ 14.8 DH,"RUE IBN ADARA EL MOURAKCHI, CASABLANCA"
Casablanca,WINXO AIN BORJA,‎ 14.78 DH,BD IBN TACHFINE
Casablanca,MY CHERIF,‎ 14.8 DH,"PLACE HEINTZ -DERB MLY CHERIF  - HAY MOH, CASABLANCA"
Casablanca,S/S AHL LOUGHLAM,‎ 14.83 DH,"BOULEVARD AHL LOUGHLAM , LOTISSEMENT ALAMIA -COMMUNE SIDI MOUMEN  "
Casablanca,OULED ZIANE,‎ 14.8 DH,"260, BOULEVARD IBN TACHFINE"
Casablanca,STATION AFRIQUIA AIN SEBAA (ROUTE DE RABAT),‎ 14.29 DH,KM 7 ROUTE DE RABAT ARRONDISSEMENT AIN SEBAA
Casablanca,BERNOUSSI,‎ 14.8 DH,"KM 9,400, CASABLANCA"
Casablanca,STATION PETROM SALMIA,‎ 14.75 DH,AVENUE AL JOULANE SALMIA
Casablanca,S/BS GESTTION GHOFRAN,‎ 14.83 DH,"DOUAR OULED MELLOUK ,COMMUNE LAHRAWIYINE"
Casablanca,ZI AIN SEBAA,‎ 14.8 DH,"BOULEVARD HAOUZA, Q.I OUKACHA, AIN SEBAA"
Casablanca,BEN MSIK,‎ 14.8 DH,"BD GRANDE CEINTURE, CASABLANCA"
Casablanca,CITEE DJEMAA,‎ 14.87 DH,BOULEVARD IDRISS EL HARTI CITÉ JEMAA
Casablanca,WINXO CHORFA,‎ 14.82 DH,BEN M'SIK DERB MILAN
Casablanca,WINXO TIT MELLIL,‎ 14.75 DH,CENTRE TIT MELLIL
Casablanca,S/S CHEMSS AL MADINA,‎ 14.83 DH,COMMUNE CHELLALATE – PROVINE DE MOHAMMEDIA 
Casablanca,EL FARAH,‎ 14.82 DH,BOULEVARD GRANDE CEINTURE
Casablanca,S/S JAMILA,‎ 14.83 DH,"208, BOULEVARD SAKIA EL HAMRA-  JAMILA II - SIDI OUTMANE "
Casablanca,ERRABITA,‎ 14.8 DH,"192, BD MY ISMAIL, CASABLANCA"
Casablanca,AIN BORJA,‎ 14.8 DH,"172, BD IBN TACHFINE-, CASABLANCA"
Casablanca,FAGES,‎ 14.8 DH,"82, BD MOULAY SLIMANE, CASABLANCA"
Casablanca,STATION MOULAY SLIMANE,‎ 14.39 DH,ROUTE MOULAY SLIMANE
Casablanca,OULED ZIANE,‎ 14.8 DH,"194, ROUTE OULED ZIANE -, CASABLANCA"
Casablanca,WINXO LA VILLETTE,‎ 14.8 DH,RUE DE LA VILLETTE
Casablanca,ZENATA,‎ 10.83 DH,GARE ROUTIÈRE OULED ZIANE
Casablanca,AL AZHAR,‎ 14.29 DH,BOULEVARD MBAREK BEN BOUBKER HAMMADI SIDI MOUMEN BERNNOUSSI  
Casablanca,ZENATA,‎ 14.8 DH,"ROUTE COTIÈRE CASA/MOHAMMADIA /AIN SEBEA, ZENATA"
Casablanca,AERODROME,‎ 14.8 DH,"PROVINCE DE SIDI BERNOUSSI, RTE DE BERRECHID"
Casablanca,INDUSTRIE SS,‎ 14.71 DH,"159, BD MOULAY ISMAIL"
Casablanca,S/S AHL LOGHLAM,‎ 14.83 DH,ROUTE DES ZENATAS ARRONDISSMENT DE AIN SEBAA
Casablanca,EL BERNOUSSI,‎ 14.29 DH,ROUTE DE RABAT N°1 SIDI BERNOUSSI CASABLANCA
Casablanca,FETH,‎ 14.8 DH,"ANGLE  BD ABDELMOUMEN/RUE BNOUKHALIQUANE, CASABLANCA"
Casablanca,S/S AL KHAIR,‎ 14.83 DH,ROUTE PRINCIPALE N°1 AVENUE '' C'' SIDI BERNOUSSI 
Casablanca,2001 CASA SS,‎ 14.46 DH,BD MOULAY SLIMAN
Casablanca,S/S  KARAM,‎ 14.83 DH,ROUTE 111-KM 8+700  LOTISSEMENT KARAM -AIN SEBAA
Casablanca,TELEVISION SS,‎ 14.55 DH,"KM 6,7  ROUTE DE MARRAKECH"
Casablanca,TELEVISION,‎ 14.8 DH,"KM 6,8  ROUTE DE MARRAKECH"
Casablanca,NASSIB,‎ 14.8 DH,"ANGLE RUE PLANQUETTE ET BD BA HMAD, CASABLANCA"
Casablanca,ZI TIT MELLIL,‎ 14.85 DH,"ZI TIT MELLIL, TITT MELLILEN"
Casablanca,DERB SULTAN,‎ 14.29 DH,ROUTE MEDIOUNA  DERB SULTAN
Casablanca,STATION IBN TACHFINE,‎ 14.29 DH,RUE SERGENT HITLAIRE QUARTIER AIN BORJA ROCHES NOIRES
Casablanca,JET STATION SERVICE,‎ 14.62 DH,"BD CHEFCHAOUNI, SIDI BERNOUSSI"
Casablanca,SPORT,‎ 14.8 DH,"294, ROUTE DES OULAD ZIANE HAY MANJRA -, CASABLANCA"
Casablanca,WINXO MAROC CARBURANT,‎ 14.79 DH,KM 5 RTE MEDIOUNA
Casablanca,WINXO MOULAY ISMAIL,‎ 14.83 DH,BD MOULAY ISMAIL
Casablanca,MOUSTAKBAL,‎ 14.72 DH,ROUTE MEDEYOUNA CASABLANCA
Casablanca,OULED HRIZ,‎ 14.8 DH,"868, BOULEVARD MOHAMMED VI"
Casablanca,GARAGE DU PHARE,‎ 14.8 DH,"886, BD MOHAMED VI, CASABLANCA"
Casablanca,BOULHAUT SS,‎ 14.57 DH,BD IBN TACHFIN ET RUE D'IFNI
Casablanca,ROCHES NOIRES,‎ 14.8 DH,AVENUE AMBASSADEUR BEN AICHA
Casablanca,AL FIDA,‎ 14.29 DH,BOULEVARD MOHAMED V
Casablanca,ROND POINT AICHA EMILE ZOLA CASA,‎ 14.29 DH,382 BD EMILE ZOLA CASABLANCA
Casablanca,SOKHOUR,‎ 14.8 DH,"100, AVENUE AMBASSADEUR BEN AICHA, CASABLANCA"
Casablanca,STATION TIT MELLIL,‎ 14.8 DH,43 AVENUE D SIDI OTHMANE TIT MELLIL
Casablanca,YAKOUT LAKSSIBA,‎ 14.29 DH,ROUTE DE MEDIOUNA CASALANCA
Casablanca,FELLAH,‎ 14.8 DH,"125,RUE DES SOISSONS -, CASABLANCA"
Casablanca,MARCHE DE GROS SS,‎ 14.57 DH,AV ABDELLAH BEN YASSINE
Casablanca,KOREA SS,‎ 14.29 DH,ROND-POINT LA GIRONDE PLACE AL KHAIBAR
Casablanca,WINXO BLAYE,‎ 14.78 DH,RUE BLAYE ET BD OULED ZIANE
Casablanca,SLIMANE,‎ 14.8 DH,"68, BD IBN TACHFINE, CASABLANCA"
Casablanca,STATION PETROM ORILIS,‎ 14.78 DH,"SIDI EL BERNOUSSI , ANGLE R 322 ET BOUELVARD EL BINA "
Casablanca,WINXO BUZANCY,‎ 14.78 DH,ANGLE BD PASTEUR ET RUE BUZANCY
Casablanca,ALBERT 1ER,‎ 14.8 DH,"BOULEVARD MOHAMMED V, CASABLANCA"
Casablanca,MAMOUNIA,‎ 14.87 DH,PLACE HMIDOU OUATANI
Casablanca,SRAGHNAS,‎ 14.8 DH,"296,BOULEVARD EL FIDA, CASABLANCA"
Casablanca,S/S SENATOR IMMOBILIER,‎ 14.83 DH,SM76 OPERATION AL BADR SIDI MOUMEN CASABLANCA
Casablanca,AL AMAL,‎ 14.89 DH,BOULEVARD EMILE ZOLA
Casablanca,ISTIRAHA LA GIRONDE,‎ 14.83 DH,MUNICIPALITÉ TIT MELLIL PROVINCE DE MEDIOUNA ROUTE N°9
Casablanca,ESSALAM,‎ 14.72 DH,ANGLE RUE CAPITAINE PUISSESSEAU  BD LA GIRONDE 
Casablanca,ASRIA,‎ 14.8 DH,"19, AVENUE PASTEUR, CASABLANCA"
Casablanca,BIADA  CASABLANCA,‎ 14.29 DH,BD MOHAMED VI RUE OMAR EL IDRISSI
Casablanca,LYON SS,‎ 14.79 DH,"1, RUE BACHIR AL IBRAHIMI"
Casablanca,PASTEUR,‎ 14.8 DH,"AVENUE PASTEUR, CASABLANCA"
Casablanca,TIHAD,‎ 14.8 DH,"82, BD MOHAMED VI-, CASABLANCA"
Casablanca,MIRABEAU,‎ 14.8 DH,"AVENUE PASTEUR, CASABLANCA"
Casablanca,DAKAR SS,‎ 14.79 DH,PLACE DAKAR
Casablanca,CENTRE CASA SS,‎ 14.79 DH,"302, BD MOHAMED V"
Casablanca,STATION ZIZ OULED HADDOU,‎ 14.79 DH,"STATION ZIZ, KM 12 RTE MEDIOUNA COMM MEJJATIA OULED HADDOU MEDIOUNA"
Casablanca,STATION PETROM 2 MARS,‎ 14.82 DH,BD PANORAMIQUE ET BD 2 MARS
Casablanca,AIN MAAZI,‎ 14.8 DH,"28, BOULEVARD LA RESISTANCE"
Casablanca,EL FIDA,‎ 14.8 DH,BOULEVARD 2 MARS HADDAOUIA 2 AIN CHOCK
Casablanca,02-MARS,‎ 14.8 DH,"ANGLE AVENUE 2 MARS EL FIDA, CASABLANCA"
Casablanca,WINXO BD MLY DRISS,‎ 14.8 DH,"AVENUE 2 MARS -, CASABLANCA"
Casablanca,AL MADINA,‎ 14.85 DH,ANGLE BOULEVARD MY DRISS 1ER ET RUE ABDESLAM EL KHATTABI
Casablanca,INARA,‎ 14.35 DH,BOULEVARD 2 MARS HAY INARA AIN CHOK
Casablanca,LA RESISTANCE,‎ 14.29 DH,BOULEVARD LA RÉSISTANCE CASABLANCA
Casablanca,WINXO AVENUE 2 MARS,‎ 14.78 DH,"ANGLES AVENUE , 2 MARS ET RUE LAMARTINE"
Casablanca,WINXO LES ALLIES,‎ 14.78 DH,PLACE DE LA VICTOIRE
Casablanca,STATION JAWHARA,‎ 14.29 DH,QUARTIER DERB OMAR RESIDENCE JAWHARA
Casablanca,HERMITAGE,‎ 14.8 DH,ANGLE BOULEVARD 2 MARS ET MY DRISS 1ER
Casablanca,RIAD,‎ 14.34 DH,BOULEVARD PANORAMIQUE ET BOULEVARD NADOR L'HERMITAGE CASABLANCA
Casablanca,PETROFAM S/S PANORAMIQUE,‎ 14.8 DH,"AVENUE 2 MARS, CASABLANCA"
Casablanca,STATION ZIZ 2 MARS,‎ 14.83 DH,ANGLE BD PANORAMIQUE  & BD OULED HADDOU ARRONDISSEMENT AIN CHOCK CASABLANCA
Casablanca,SIDI HAJAJ,‎ 16.74 DH,RP 3024 DOUAR OULED BOUAZIZ COMMUNE RURALE SIDI HAJJAJ OUED HASSAR   PROVINCE MEDIOUNA
Casablanca,LYCEE SS,‎ 14.49 DH,ANGLE AV 2 MARS ET TARIK IBNOU ZIAD
Casablanca,WINXO VESALE,‎ 14.8 DH,RUE VESALE ET 2 MARS
Casablanca,ISTIRAHA LES CRETES,‎ 14.72 DH,BOULEVARD MODI BOKITA
Casablanca,PETROFAN S/S ZOUBEIR,‎ 14.83 DH,BOULEVARD HAJ FATEH  HAY EL HASSANI CASABLANCA  
Casablanca,EL MANZAH SS,‎ 14.71 DH,"PK 8,35  COMMUNE RURAL EL MAJJATIA"
Casablanca,AIN HARROUDA,‎ 14.8 DH,"ROUTE DE CASA   -, MOHAMMEDIA"
Casablanca,WINXO HASSAN II CASA,‎ 14.8 DH,RP HASSANE 2 CASA
Casablanca,WIDAD,‎ 14.8 DH,"ANGLE BD ABDELMOUMEN, CASABLANCA"
Casablanca,PETROFAN S/S BACHKOU,‎ 14.83 DH,BD EL HACHIMI FILALI-QUARTIER LES CRÊTES POLO-CASABLANCA 
Casablanca,ABDELMOUMEN,‎ 14.8 DH,"212, BOULEVARD ABDELMOUMEN"
Casablanca,ABDELMOUMEN I,‎ 14.8 DH,"BD TADDERT, CASABLANCA"
Casablanca,PETROFAN S/S CALIFORNIE,‎ 14.29 DH,355 BOULEVARD ABDELMOUMEN CASABLANCA
Casablanca,ABDELMOUMEN II,‎ 14.29 DH,ANGLE RUE LAMENAI ET BOULEVARD ABDELMOUMEN CASABLANCA
Casablanca,ISTIRAHA CHAOUIA,‎ 14.72 DH,ANGLE BD ROUDANI ET ZERKTOUNI
Casablanca,PALMIERS,‎ 14.89 DH,QUARTIER PALMIER - ANGLE RUE 9 AVRIL ET RUE MOHAMED BAHI
Casablanca,EL GHOUROUB,‎ 14.99 DH,"61, BOULEVARD BORDEAUX"
Casablanca,WINXO AL MASSIRA,‎ 14.78 DH,AVENUE EL MASSIRA
Casablanca,STATION ZIZ GAMA GHANDI,‎ 14.79 DH,"STATION ZIZ, BD GHANDI CASABLANCA"
Casablanca,PETROFAN S/S SIDI MESSAOUD,‎ 14.83 DH,COMMUNE BOUSKOURA-PROVINCE NOUACEUR
Casablanca,"MLY YOUSSEF , ZIRAOUI  CASA",‎ 14.29 DH,ANGLE MLY YOUSSEF ET ZIRAOUI CASA
Casablanca,PETROFAN S/S GHANDI,‎ 14.83 DH,BOULEVARD GHANDI- CASABLANCA
Casablanca,PISCINE,‎ 14.8 DH,"RUE DE TIZNIT -, CASABLANCA"
Casablanca,WINXO BORDEAUX,‎ 14.27 DH,ROND POINT LECLERC
Casablanca,H&K S/S TADDART,‎ 14.78 DH,BD BORDEAUX
Casablanca,WINXO DANTON,‎ 14.78 DH,BD BIR ANZARANE
Casablanca,S/S AIN HARROUDA,‎ 14.81 DH,COMMUNE AIN HARROUDA
Casablanca,EL MANAR,‎ 14.8 DH,"ANGLE BOULEVARD BRAHIM ERROUDANI ET YAACOUB EL MANSOUR, CASABLANCA"
Casablanca,AIN HARROUDA,‎ 14.29 DH,RN 1 MUNICIPALITÉ DE AIN HARROUDA PRÉFECTURE DE MOHAMMEDIA    
Casablanca,GHANDI,‎ 14.8 DH,ANGLE BOULEVARD GHANDI ET RUE CLEMENT
Casablanca,RACINE,‎ 14.88 DH,ANGLE BOULEVARD ANFA - BOULEVARD ZERKTOUNI
Casablanca,RELAIS AL BAIDA,‎ 14.8 DH,"275,BD MOULAY YOUSSEF -, CASABLANCA"
Casablanca,CASABLANCA,‎ 14.39 DH,AUTOROUTE DE CONTOURNEMENT DE CASABLANCA DOUAR LAMZABIINE BOUSKOURA
Casablanca,ALMA,‎ 14.85 DH,"185, BOULEVARD BORDEAUX"
Casablanca,ISTIRAHA BEAULIEU,‎ 14.72 DH,BD.GHANDI-RIVERA CASABLANCA
Casablanca,CHELLALATE,‎ 14.8 DH,"COMMUNE CHELLALATE, RTE N 9, MOHAMMEDIA"
Casablanca,ROUTE DU SUD,‎ 14.8 DH,BOULEVARD BRAHIM ROUDANI VERS ROUTE D'EL JADIDA
Casablanca,AL MASSIRA,‎ 14.89 DH,"87, BOULEVARD AL MASSIRA AL KHADRA"
Casablanca,VILLE VERTE,‎ 14.9 DH,VILLE VERTE BOSKOURA 
Casablanca,SAUVAGE,‎ 14.8 DH,"ANGLE RUE AISHAK / JOUFROY, CASABLANCA"
Casablanca,PETRO VEGAS,‎ 14.69 DH,AIN HARROUDA CENTRE
Casablanca,AIN HARROUDA,‎ 14.8 DH,ROUTE EL JADIDA
Casablanca,GARAGE HENRY,‎ 14.8 DH,"435, BD ZERKTOUNI, CASABLANCA"
Casablanca,OASIS,‎ 14.8 DH,"ROUTE D'EL JADIDA, CASABLANCA"
Casablanca,RIVIERA,‎ 14.8 DH,ANGLE RUE OMAR KHYAM ET ROUTE D'EL JADIDA
Casablanca,BARAKA,‎ 14.8 DH,"NOUVELLE ROUTE D'EL JADIDA, CASABLANCA"
Casablanca,STADES,‎ 14.8 DH,"ROUTE D'EL JADIDA, CASABLANCA"
Casablanca,OASIS,‎ 14.29 DH,ROUTE EL JADIDA OASIS
Casablanca,WINXO AVENIR,‎ 14.78 DH,RTE D'EL JADIDA
Casablanca,STATION PETROM S.D'HONNEUR,‎ 14.7 DH,BOULEVARD IBNOU SINA
Casablanca,DOUMER,‎ 14.8 DH,"ANGLE BD IBN SINA ET BD ROUTE D'AZEMMOUR, CASABLANCA"
Casablanca,VELODROME,‎ 14.88 DH,BOULEVARD MY RACHID
