city,station_name,supercarburant sans plomb,station_location
Casablanca,SIDI MAAROUF 2,‎ 14.24 DH,9 CENTRE COMMERCIAL BOUSKOURA SIDI MAÂROUF CASABLANCA
Casablanca,SPORTS CASA SS,‎ 14.46 DH,12 BOULEVARD IBN SINA
Casablanca,MEDMA GESTION S/S FLORIDA,‎ 14.83 DH,LOT FLORIDA-SIDI MAAROUF-CASABLANCA
Casablanca,SIDI MESSAOUD,‎ 10.91 DH,RS 109 PK 10+000 SIDI MESSAOUD CASABLANCA
Casablanca,WINXO GHANDI,‎ 14.79 DH,ANG. BD GHANDI ET IBN SINA
Casablanca,WINXO HIPPODROME,‎ 14.8 DH,"1, RUE IFRAN - C I L, CASABLANCA"
Casablanca,ISTIRAHA BOUSKOURA 1,‎ 14.8 DH,ANGLE AV. MY RACHID ET D'HIERS
Casablanca,STATION CPHM HAMRIA,‎ 14.72 DH,ROUTE NATIONALE 11
Casablanca,SIDI MESSOUD BOUSKOURA,‎ 14.1 DH,ROUTE DE MARRAKECH CASABLANCA
Casablanca,EXIT CASABLANCA,‎ 14.8 DH,"SORTIE VERS NOUACER, CASABLANCA"
Casablanca,BOUSKOURA 1,‎ 14.29 DH,"SORTIE DE CASABLANCA, ROUTE DE MARRAKECH"
Casablanca,AL MENZAH ,‎ 14.8 DH,"BD ROOSVELT/RAMPE D'ANFA, CASABLANCA"
Casablanca,S/S LHBIB OUED HASSAR,‎ 14.83 DH,COMMUNE RURALE SIDI HAJJAJ OUED HASSAR
Casablanca,ZENATA,‎ 14.29 DH, ENTRÉE VERS MOHAMMEDIA ZENATA
Casablanca,HASSANIA,‎ 14.87 DH,BOULEVARD OUM RABII EL OULFA
Casablanca,ALLAYMOUN,‎ 14.8 DH,"BD DE LA GRANDE CEINTURE, CASABLANCA"
Casablanca,SIDI MAAROUF,‎ 14.29 DH,LOTISSEMENT MEHDI ROUTE EL JADIDA LISSASFA
Casablanca,MEDIOUNA,‎ 14.8 DH,"ROUTE NATIONALE N°9, CARREFOUR MEDIOUNA / CASABLANCA / TIT MELLIL"
Casablanca, ZARHANE,‎ 14.44 DH,"COMMUNE RURALE SIDI MOUSSA BEN ALI, PROVINCE MOHAMMEDIA"
Casablanca,ROUTE AZEMOUR,‎ 14.29 DH,ANGLE BOULEVARD ABI RAKRAK ET IBNOU HAITAM QUARTIER HAY HASSANI
Casablanca,JADI,‎ 14.8 DH,KM 6 ROUTE ELGARA
Casablanca,S/S  REST SPACE,‎ 14.81 DH,COMMUNE CHALLALATE-MOHAMMEDIA
Casablanca,NASSIM,‎ 14.8 DH,QUARTIER INDUSTRIEL LISSASFA VERS AUTOUROUTE D'ELJADIDA
Casablanca,HAY HASSANI ,‎ 14.29 DH,ANGLE BOULEVARD ABI RAKRAK ET IBNOU HAITAM QUARTIER HAY HASSANI CASABLANCA
Casablanca,MAHATAT ANNOR,‎ 14.81 DH,RT N°1 COMMUNE CHALLALATE-MOHAMMEDIA
Casablanca,S/S LA NOUVELLE VILLE DE ZENATA,‎ 14.81 DH,"COMMUNE AIN HARROUDA,LOTISSEMENT ZS2 - MOHAMMEDIA"
Casablanca,ISTIRAHA PALOMA,‎ 14.71 DH,ROUTE COTIERE CASA MOHAMMEDIA AIN HARROUDA
Casablanca,OUM ERRABII,‎ 14.9 DH,BOULEVARD OUM ERRABII - QUARTIER OULFA
Casablanca,NOUZA,‎ 14.68 DH,"QUARTIER INDUSTRIEL , MUNICIPALITÉ DE MEDIOUNA"
Casablanca,PETROFAN S/S HAY HASSANI,‎ 14.83 DH,ANGLE BD BOUTALEB ET RUE 8 -ANFA-CASABLANCA
Casablanca,STATION PETROM CHANANE,‎ 14.82 DH,LISSASFA ROUTE D'EL JADIDA
Casablanca,SIDI MAAROUF,‎ 14.77 DH,"ZONE INDUSTRIELLE BOUSKOURA, SIDI MAAROUF"
Casablanca,ROUTE EL JADIDA,‎ 14.29 DH,QUARTIER INDUSTRIEL SIDI MAÂROUF
Casablanca,S/S IKHLASS II,‎ 14.83 DH,DIYAR EL MENZEH -LYSSASFA
Casablanca,FABIDIS S/S AL OMRAN,‎ 14.81 DH,LOT Z.I.SUD-OUEST PHASE 2 N° 57 -MOHAMMEDIA
Casablanca,OULFA,‎ 14.73 DH,"EL ALIA 3, QUARTIER OULFA - AIN CHOK - HAY HASSANI-CASA"
Casablanca,SIDI MOUSSA,‎ 14.3 DH,RP 106 PK 25+000 SIDI MOUSSA BEN ALI
Casablanca,WINXO OULFA,‎ 14.79 DH,AVENUE SID AL KHADIR OULFA
Casablanca,OUED MELLAH,‎ 14.78 DH,ROUTE COTIÈRE CASA MOHAMMEDIA
Casablanca,S/S AL ARSA AIRE  DE SERVICE,‎ 14.83 DH,PK 28+450 DE LA ROUTE NATIONALE N° 9
Casablanca,WINXO SAMIR,‎ 14.8 DH,ROUTE D'EL JADIDA LISSASFA
Casablanca,SOFIA,‎ 14.8 DH,BOUSKOURA
Casablanca,BOUSKOURA 2,‎ 11.96 DH,ROUTE DE BOUSKOURA
Casablanca,S/S BASSARI  BOUSKOURA,‎ 14.83 DH,SISE 0 LA RS N° 107- BOUSKOURA PROPRIETE DITE RAMEL LHLALA  
Casablanca,STATION PETROM SERVICE NOREA,‎ 14.42 DH,RP 1 PK 338+1 COMMUNE SIDI MOUSSA EL MAJDOUB
Casablanca,FEDALA,‎ 14.27 DH,RS 111 PK 17+000  MOHAMMEDIA 
Casablanca,BEAUSITE,‎ 14.8 DH,"KM 17  - BOUSKOURA CENTRE B. P. 22, BOUSKOURA"
Casablanca,ERRAHMA,‎ 14.59 DH,ROUTE AZEMMOUR PRÈS CENTRE ERRAHMA
Casablanca,ISTIRAHA ASWAK ASSALAM,‎ 14.71 DH,AV HASSAN II  ASWAKASSALAM  MOHAMEDIA
Casablanca,BD HASSAN II,‎ 14.27 DH,ANGLE BOULEVARD GRANDE CEINTURE ET HASSAN II MOHAMMEDIA
Casablanca,SOCIETE OULED HADJ LARBI - SARL,‎ 14.54 DH,DOUAR LOUCHACHMA
Casablanca,PETROFAN S/S CENTRE SOUALEM,‎ 14.84 DH,COMMUNE HAD SOUALEM- PROVINCE DE BERRECHID
Casablanca,FADILE GESTION S/S ARRAHMA,‎ 14.87 DH,COMMUNE ARRAHMA DAR BOUAZZA -PROVINCE NOUACEUR
Casablanca,S/S SAPINO II,‎ 14.84 DH,"SAPINO LOT 1400, LOT 67- NOUACEUR"
Casablanca,L ESCALE,‎ 14.81 DH,ZONE INDUSTIELLE SAPINO - RN9 - ROUTE MÉDIOUNA VERS BERRECHID
Casablanca,STATION EL ALIA,‎ 14.71 DH,"BD HASSAN II, MOHAMMEDIA"
Casablanca,GALIA,‎ 14.78 DH,"AVENUE HASSAN II, MOHAMMEDIA"
Casablanca,MOHAMEDIA,‎ 14.78 DH,"AVENUE HASSAN II, MOHAMMEDIA"
Casablanca,S/S BS GESTION NOUACEUR,‎ 14.84 DH,"PARC INDUSTRIEL SAPINO, LOT N°1401-MUNICIPALITE NOUACEUR "
Casablanca,MAYSSANE,‎ 14.81 DH,"COMMUNE OULED SALEH, BOUSKOURA"
Casablanca,WINXO SOCCO,‎ 14.8 DH,N1 COM OULED AZZOUZ RTE ELJADIDA
Casablanca,MIRAMAR SS,‎ 14.77 DH,BD MOHAMED V
Casablanca,S/S AL FALAH,‎ 14.81 DH,ANGLE BOULEVARD MOULAY RCHID ET BOULEVARD RIAD - LOT AL FALAH
Casablanca,BENI YAKHLEF,‎ 14.78 DH,"KYADA BENIKHLEF, RTE NATIONALE N1"
Casablanca,GARAGE EL ALIA,‎ 14.29 DH,16 BOULVARD HASSAN II
Casablanca,DU PARC,‎ 14.79 DH,RUE DE FEZ
Casablanca,AIN TEKKI,‎ 14.39 DH,"COMMUNE BENI YAKHLEF, PREFECTURE MOHAMMEDIA"
Casablanca,S/S SIDI MOHAMED GUENOUNI,‎ 14.81 DH,COMMUNE BENI YAKHLAF
Casablanca,DEROUA,‎ 14.81 DH,"DEROUA, LOTISSEMENT BAYTI SAKANE"
Casablanca,S/S BOULEVARD SEBTA,‎ 14.78 DH,"AVENUE HASSAN II, MOHAMMEDIA"
Casablanca,RIAD AL KARIA,‎ 14.81 DH,BOULEVARD SEBTA -ALIA MOHAMMEDIA
Casablanca,FEDALATE,‎ 14.39 DH,JAMÂAT FEDALAT PROVINCE BEN SLIMAN
Casablanca,LOUIZIA,‎ 14.78 DH,39 RUE LES EUCALYPTUS
Casablanca,CPHM ESPACE ZENATA,‎ 9.48 DH,RP 1 CASA RABAT
Casablanca,BENI YAKHLEF I,‎ 14.71 DH,RTE NATIONALE N°1 BENI YAKHLEF 
Casablanca,AEROPORT MOHAMMED V,‎ 14.3 DH,AÉROPORT MOHAMED V NOUACEUR
Casablanca,OUED EDDAHAB SS,‎ 14.87 DH,COMMUNE URBAINE OULED AZOUZ ZONE INDUSTRIELLE- PROVINCE NOUACEUR
Casablanca,LOUIZIA,‎ 14.54 DH,"ROUTE DE CASA, DAROUA"
Casablanca,BEN MCHICH,‎ 14.48 DH,DOUAR OULAD BEN OMAR CAIDAT OULAD ZIANE SUR LA ROUTE RP 3336
Casablanca,TAMARIS II,‎ 14.45 DH,KM 10 - DAR BOUAZZA - ROUTE AZEMMOUR
Casablanca,DEROUA,‎ 14.3 DH,RN 9 PK 35+800 COMMUNE DAROUA PROVINCE SETTAT
Casablanca,MOHAMEDIA,‎ 14.27 DH,MOHAMMEDIA
Casablanca,S/S SALMA LOUZI,‎ 14.84 DH,DOUAR CHRAGUI COMMUNE RURALE KHIAYTA
Casablanca,S/S AL MADINA,‎ 14.83 DH,ROUTE NATIONELE  01 POINT KILOMETRIQUE  000+380 - COMMUNE DAR BOUAAZZA - NOUCEUR
Casablanca,S/S CARREFOUR,‎ 14.83 DH,"COMMUNE DEROUA, OULED HRIZ, BERRCHID"
Casablanca,DAR BOUAZZA,‎ 14.59 DH,RS 320 PK 12+200 DAR BOUAZZA PRÉFECTURE HAY HASSANI AIN CHOK
Casablanca,AL BASSATINE,‎ 14.88 DH,"PROVINCE BENSLIMANE, COMMUNE EL MANSOURIA, LOUTISSEMENT INDUSTRIEL. "
Casablanca,LES IRIS,‎ 14.81 DH,"PROVINCE DE NOUACER C/R OULED AZZOUZ, DOUAR HARET EL GHABA"
Casablanca,S/S AL HAMD,‎ 14.84 DH,COMMUNE URBAINE ELMANSOURIA  DOUAR BENI AMER
Casablanca,LAKHYAYTA,‎ 14.55 DH,"CERCLE BERRCHID,COMMUNE RURALE LAKHYAYTA"
Casablanca,STATION PETROM LAKHYAYTA,‎ 14.3 DH,RS 222 PK 53+500 PONT BLONDIN ROUTE CÔTIÈRE ENTRÉE DE MOHAMMEDIA
Casablanca,STATION EL MANSOURIA,‎ 16.66 DH,PK 21 RN 8 ROUTE EL JADIDA LAKHYAYTA
Casablanca,JAKMA,‎ 10.96 DH,CITE BALEAIRE COMMUNE EL MANSOURIA
Casablanca,STATION PETROM LAMII,‎ 14.77 DH,RT 19 PK 27 COMMUNE OULED SALEH
Casablanca,AL MIZHARIA,‎ 14.79 DH,RN9 DAROUA VERS BERRECHID   CR JAKMA  BERRECHID
Casablanca,WINXO UNIVERS AMINE,‎ 14.55 DH,AR
Casablanca,DAROUA,‎ 14.81 DH,"ROUTE MEDIOUNA, DEROUA"
Casablanca,STATION PETROM ROCAILLES,‎ 16.75 DH,RR 320  PK 15+150 RTE COTIERE AZEMMOUR DAR BOUAZZA
Casablanca, MANSOURIA,‎ 14.44 DH,"COMMUNE URBAINE EL MANSOURIA, ROUTE NATIONALE N°1, PROVINCE BENSLIMANE"
Casablanca,KASBAT BEN MCHICH,‎ 14.4 DH,SIS À LA CR KASBAT BEN M’CHICH
Casablanca,LAKHYAYTA,‎ 14.31 DH,DOUAR LAKHYAYTA SAHEL KM 25 CERCLE BERRECHID
Casablanca,S/S FAJR,‎ 14.84 DH,COMMUNE FDALETTE -BENSLIMANE
Casablanca,AGOURRAM,‎ 14.91 DH,CR SOUALEM TRAIFIYA PR BERRECHID
Casablanca,STATION ZIZ OULED JERRAR,‎ 14.8 DH,"STATION ZIZ, R R 320 AU PK16+725 A DOUAR LARBAA OULAD JERRAR DAR BOUAZZA"
Casablanca,DAR BOUAZZA,‎ 14.8 DH,"PK 17 ROUTE D'AZEMMOUR DAR BOUAZZA, DAR BOUAZZA"
Casablanca,TAMARIS,‎ 12.11 DH,ROUTE DE DAR BOUAZZA
Casablanca,HAD SOUALEM,‎ 14.81 DH,LOT 128 LOTISSEMENT AL FADL HAD SOUALEM - SOUALEM
Casablanca,BELAIR,‎ 14.81 DH,"ROUTE NATIONALE N°11, ENTRÉE DE BERRECHID"
Casablanca, SIDI BARKA,‎ 14.84 DH,"COMMUNE RURALE OULED YAHIA LOUTA, DOUAR LAAOUNAESS"
Casablanca,TAMARIS 3,‎ 14.44 DH,"DOUAR LAAOUNESS, COMMUNE RURALE OULED YAHYA LOUTA, PROVINCE BENSLIMANE"
Casablanca,FIRDAOUS,‎ 14.87 DH,ROUTE NATIONALE CÔTIÈRE CASABLANCA - AZEMMOUR
Casablanca,STATION KASBAT CHAOUIA,‎ 16.66 DH,"ROUTE NATIONAL CASA-HAD SOUALEM, HAD SOUALEM"
Casablanca,S/S HIDAYA LAASSILATE ,‎ 14.84 DH,COMMUNE SAHEL DOUAR LAASILATE 
Casablanca,LAACILATE,‎ 14.3 DH,RS 103 PK 22+000 COMMUNE RURALE LAKHYAYTA CERCLE DE BERRECHID PROVINCE DE SETTAT
Casablanca,BERRECHID 3,‎ 14.28 DH,RS 114 KM 30 ROUTE DE BOUSEKOURA BERRECHID
Casablanca,WINXO BERRECHID,‎ 14.82 DH,LOT ZOUBIDA RP 114-PK 34
Casablanca,BERRCHID 1,‎ 14.81 DH,"ROUTE DE BOUSSEKOURA, BERRECHID"
Casablanca,BOUMAIZA,‎ 14.8 DH,"STATION ZIZ, RR 10 9 ET RR103 PK 32 BERRECHID PROVINCE DE SETTAT"
Casablanca,TOUALAA,‎ 14.85 DH,KM 9 ROUTE RÉGIONALE R318 SORTIE DE BERRECHID VERS HAD SOUALEM
Casablanca,STATION PETROM AAMRI,‎ 14.8 DH,"305, COMMUNE OULAD YAHYA "
Casablanca,PETROFAN S/S DAR 16,‎ 14.84 DH,COMMUNE OULED AZZOUZ - PROVINCE DE NOUACEUR
Casablanca,HAD SOUALEM,‎ 14.3 DH,CENTRE HAD SOUALEM
Casablanca,SIDI RAHAL,‎ 14.74 DH,COMMUNE HAD SOUALEM SETTAT
Casablanca,S/S ESPACE KILMI,‎ 14.84 DH,"106, ROUTE OULED YAHIA OULED YAHIA LOUTA  "
Casablanca,BENSLIMANE 1,‎ 14.3 DH,R R N305 PK 27+200 CR OULED YAHYA LOUTA
Casablanca,SOUK TNINE,‎ 11.08 DH,RP 32 PK 24+1 COMMUNE DE HAD SOUALEM
Casablanca,S/PETROM ESPACE EL BASMA,‎ 14.32 DH,ROUTE AIN SAEIRNI
Casablanca,ZANATA,‎ 14.81 DH,"HAD SOUALEM, HAD SOUALEM"
Casablanca,ESPACE HIATI,‎ 14.78 DH,DOUAR BENI KARZAZ
Casablanca,BERRECHID 2,‎ 14.25 DH,RP 7 PK 43+000 BERRECHID 
Casablanca,ELHADI JAOUAD SS,‎ 14.62 DH,CENTRE HAD SOUALEM
Casablanca,ALBOUSTANE,‎ 14.4 DH,RP N° 36 PK 32+000 AUTOROUTE CASABLANCA VERS RABAT
Casablanca,AL JAZIRA,‎ 14.3 DH,SORTIE DE BERRECHID VERS MARRAKECH
Casablanca,OULED HARRIZ,‎ 14.81 DH,"AUTO ROUTE CASA RABAT, BOUZNIKA"
Casablanca,BERRECHID 4,‎ 14.3 DH,ROUTE DE BERRECHID VERS SETTAT
Casablanca,2001 BERRECHID,‎ 14.56 DH,ROUTE DE SETTAT
Casablanca,WINXO HAD SOUALEM,‎ 14.79 DH,HAD SOUALEM
Casablanca,OULED HRIZ,‎ 14.3 DH,"""EMPRISE RP N° 13 PK 7 BERRECHID PROVINCE BERRECHID"""
Casablanca,LAMBARKIYINE,‎ 14.72 DH,ROUTE DE KHOURIBGA PK 3600 COMMUNE LEMBARKIYINE
Casablanca,DAHOMEY,‎ 14.81 DH,LOTISSEMENT BAHIA 1 - ROUTE CÔTIÈRE MOHAMMEDIA
Casablanca,STATION PETROM BEN SLIMAN,‎ 14.87 DH,ROND POINT 11 X 16 HAY EL FATH
Casablanca,ISTIRAHA LAHRIZI,‎ 14.75 DH,ROUTE SETTAT
Casablanca,STATION ZIZ BERRECHID,‎ 14.8 DH,"STATION ZIZ, ZONE INDUSTRIEL BERRECHID ROUTE NATIONALE 9 (VERS SETTAT)"
Casablanca,BENSLIMANE,‎ 14.44 DH,SITUÉE À COMMUNE RURALE LAMBARKIYINE
Casablanca,EL GARA,‎ 14.81 DH,CENTRE BENSLIMANE
Casablanca,GARAGE BENSLIMANE,‎ 14.89 DH,CENTRE BENSLIMANE
Casablanca,WINXO BENSLIMANE,‎ 9.49 DH,AVENUE HASSAN II 
Casablanca,BOUZNIKA 1,‎ 14.81 DH,RN 1 PK 315+050 BOUZNIKA VERS CASA
Casablanca,WINXO JACMA,‎ 14.8 DH,RN 11 PK 39+300 CERCLE ELGARA CAI 0 EL GARA
Casablanca,OCÉAN,‎ 14.4 DH,AUTOROUTE DE SETTAT VERS BERRECHID  
Casablanca,SIDI RAHAL,‎ 14.81 DH,"ROUTE NATIONALE N°1, ENTRÉE DE BOUZNIKA"
Casablanca,SOGEFAM S/S ALIA ( KM 36),‎ 14.3 DH,RP 320 PK 28+800 COMMUNE SIDI RAHAL CHATI PROVINCE BERRECHID
Casablanca,RELAIS CHAOUIA,‎ 14.87 DH,"CASABLANCA VERS MARRAKECH, PK 35"
Casablanca,STATION PETROM NZAHA,‎ 14.81 DH,RP 1 PK 200+313 MUNICIPALITE DE BOUZNIKA
Casablanca, BOUZNIKA,‎ 14.45 DH,"COMMUNE URBAINE BOUZNIKA, PROVINCE BENSLIMANE"
Casablanca,S/S AUTOROUTE BERRECHID,‎ 15.08 DH,AUTOROUTE KHOURIBGA -BERRECHID SITUE P.K 15 COMMUNE LAMBARKIYINE 
Casablanca,AIRE DE REPOS BERRECHID,‎ 14.32 DH,PK15 AUTOROUTE CASA-BENIMELLAL
Casablanca,STATION ZIZ MELLILA,‎ 14.8 DH,"STATION ZIZ, CT N° 1054 A JEMA MELLILA PROVINCE DE BENSLIMANE"
Casablanca,GARA 2,‎ 14.4 DH,RS 117 PK 2500 BOUZNIKA
Casablanca, BERRECHID,‎ 14.44 DH, ENTRÉE EL GARA
Casablanca,ZI BERRECHID,‎ 14.39 DH,"ROUTE NATIONALE N°11, SORTIE DE BERRECHID VERS KHOURIBGA"
Casablanca,STATION PETROM BOUZNIKA,‎ 14.89 DH,AVENUE HASSAN II
Casablanca,WINXO EL GARA,‎ 14.9 DH,RTE 1007 DE BEN SLIMANE RUE DES C 
Casablanca,GARA 3,‎ 14.3 DH,ROUTE BEN AHMED CENTRE EL GARA
Casablanca,GARA 1,‎ 14.3 DH,ROND POINT PRINCIPAL CENTRE VILLE - GARA
Casablanca,GARA,‎ 9.44 DH,"ROUTE DE BEN AHMED, EL GARA"
Casablanca,S/S ESPACE DAIF TARIK,‎ 14.99 DH,KM32 SIDI RAHAL
Casablanca,BENSLIMANE 2,‎ 14.3 DH,RR 305 PK 11+200 DOUAR OULED SAADA COMMUNE RURALE ZIAIDA BENSLIMANE
Casablanca,STATION ZIZ SIDI KACEM ZEMMAL,‎ 14.8 DH,"STATION ZIZ, RP N° 3610 SIDI KACEM ZEMMAL PROVINCE BERRCHID"
Casablanca,BENMOUSSA,‎ 14.87 DH,OULED LAHCEN DKHAKHNA COMMUNE JEMAA RIAH
Casablanca,S/S PETROMIN LA FERME DE BENSLIMANE,‎ 14.84 DH,ROUTE REGIONALE N°404 PK 050+131 COMMUNE ZIAIDA PROVINCE DE BENSLIMANE
Casablanca,BOUFERROUJ,‎ 14.82 DH,"RTE SETTAT BOUFAROUJ CENTRE - BOUFARROUJ, BOUFARROUJ"
Casablanca,BIR JDID 2,‎ 14.87 DH,RR 320 EX RS N° 130 DOUAR BIR RATMA COMMUNE RURALE DE LMHARZA ESSAHEL
Casablanca,BENSLIMANE,‎ 14.15 DH,RP N° 8 PK 4 BIR JDID
Casablanca,BIR JDID,‎ 14.84 DH,"AUTOROUTE CASABLANCA-EL JADIDA, BIR JDID"
